公司名称,经验,教育,职位,诱惑,工资,公司经验范围,公司规模,公司要求,职位要求,地址,技能,详细网址
上海泛微网络科技股份有限公司,3-5年,本科,爬虫工程师,"发展空间大,氛围好,四餐免费",15k-20k,"移动互联网,企业服务",2000人以上,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']","['大数据', 'Java', 'Python']",闵行区,"['Java', 'Python']",https://www.lagou.com/jobs/4663131.html
上海慧宏友科信息科技有限公司,1-3年,本科,Python爬虫工程师,地铁近、扁平化管理、环境好,10k-15k,"移动互联网,企业服务",15-50人,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']","['移动互联网', '工具软件']",浦东新区,[],https://www.lagou.com/jobs/5423388.html
上海彩亿信息技术有限公司,3-5年,本科,高级java爬虫,"行业前列,亿级平台,极客团队,无限发挥",15k-30k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']","['征信', 'MongoDB', 'Oracle', '数据挖掘']",徐汇区,"['MongoDB', 'Oracle', '数据挖掘']",https://www.lagou.com/jobs/4893585.html
拉扎斯网络科技（上海）有限公司,1-3年,本科,java爬虫工程师,数据大牛带你一起遨游数据的殿堂,15k-30k,移动互联网,2000人以上,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",['本地生活'],普陀区,[],https://www.lagou.com/jobs/2832556.html
上海勃池信息技术有限公司,3-5年,本科,高级爬虫工程师（Python、Java、go、C#,"年底多薪,期权激励,不定时团建,弹性工作",15k-30k,"金融,数据服务",50-150人,"['股票期权', '扁平管理', '五险一金', '不打卡']","['大数据', '数据处理']",静安区,['数据处理'],https://www.lagou.com/jobs/4900644.html
上海泛微网络科技股份有限公司,3-5年,本科,java开发（爬虫方向）,"半年调薪,发展前景好,平台大,福利待遇佳",15k-25k,"移动互联网,企业服务",2000人以上,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",[],闵行区,[],https://www.lagou.com/jobs/4338326.html
上海彩亿信息技术有限公司,3-5年,本科,java爬虫,"技术大牛多,薪资福利好,团队氛围佳",15k-30k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']","['爬虫工程师', '分布式']",徐汇区,"['爬虫工程师', '分布式']",https://www.lagou.com/jobs/4918171.html
上海彩亿信息技术有限公司,3-5年,大专,爬虫工程师（java）,"移动互联网,准上市公司,技术大牛,不加班",15k-30k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']",['数据分析'],徐汇区,['数据分析'],https://www.lagou.com/jobs/4918256.html
上海彩亿信息技术有限公司,3-5年,本科,爬虫工程师（Java),"行业前三,准上市,技术大牛",14k-28k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']",[],徐汇区,[],https://www.lagou.com/jobs/4898996.html
上海彩亿信息技术有限公司,3-5年,本科,Java(爬虫）,"行业前三,技术大牛",12k-24k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']",[],徐汇区,[],https://www.lagou.com/jobs/4894629.html
上海彩亿信息技术有限公司,3-5年,大专,高级java爬虫工程师,"移动互联网,准上市公司,技术大牛",18k-36k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']","['分布式', '爬虫架构']",徐汇区,"['分布式', '爬虫架构']",https://www.lagou.com/jobs/4912478.html
上海彩亿信息技术有限公司,3-5年,本科,java（爬虫）,"即将上市,金融科技",16k-32k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']",[],徐汇区,[],https://www.lagou.com/jobs/4680296.html
