公司名称,经验,教育,职位,诱惑,工资,公司经验范围,公司规模,公司要求,职位要求,地址,技能,详细网址
晋商消费金融股份有限公司,不限,本科,爬虫工程师,"待遇优渥,弹性工作,扁平管理,年轻团队",15k-30k,金融,150-500人,[],"['Java', 'Node.js', 'Python']",浦东新区,"['Java', 'Node.js', 'Python']",https://www.lagou.com/jobs/4135705.html
证通股份有限公司,3-5年,本科,爬虫工程师,"平台稳定有潜力.补充公积金,补充医疗",20k-30k,"移动互联网,金融",150-500人,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']","['Web前端', 'HTML5']",浦东新区,"['Web前端', 'HTML5']",https://www.lagou.com/jobs/5409773.html
上海心猿网络科技有限公司,3-5年,本科,爬虫工程师,"二次创业,自由度大,挑战性强,团队氛围好",15k-30k,金融,15-50人,"['弹性工作', '领导好', '技能培训', '管理规范']","['企业服务', '移动互联网', '数据架构', '数据挖掘', '数据仓库', 'Hadoop']",长宁区,"['数据架构', '数据挖掘', '数据仓库', 'Hadoop']",https://www.lagou.com/jobs/5328594.html
上海海知智能科技有限公司,1-3年,本科,爬虫开发工程师,"人工智能,技术大牛,创新前沿,弹性工作",13k-25k,"移动互联网,数据服务",50-150人,"['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']","['Python', '数据挖掘']",浦东新区,"['Python', '数据挖掘']",https://www.lagou.com/jobs/3919836.html
上海彩亿信息技术有限公司,5-10年,大专,爬虫,"海量数据,准备上市,行业前列,极客团队",22k-44k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']","['移动互联网', 'Java', '数据处理', '数据挖掘']",徐汇区,"['Java', '数据处理', '数据挖掘']",https://www.lagou.com/jobs/4949869.html
北京熵简科技有限公司上海杨浦分公司,1-3年,本科,高级爬虫工程师,标配MAC，有猫，氛围好，福利好,25k-35k,"金融,数据服务",15-50人,"['""""']","['云计算', '大数据', 'MySQL', '算法', '数据处理', '数据分析']",杨浦区,"['MySQL', '算法', '数据处理', '数据分析']",https://www.lagou.com/jobs/5385712.html
遨游酒店信息技术(深圳)有限责任公司,10年以上,不限,爬虫开发工程师,"年终奖金,弹性工作",30k-60k,移动互联网,500-2000人,"['扁平管理', '弹性工作', '精英团队', '高速发展']","['MongoDB', 'Redis', 'Scala']",徐汇区,"['MongoDB', 'Redis', 'Scala']",https://www.lagou.com/jobs/5364597.html
上海微盟企业发展有限公司,3-5年,不限,爬虫开发工程师,"平台好,业务新,福利好",18k-30k,"移动互联网,电子商务",2000人以上,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",['Python'],宝山区,['Python'],https://www.lagou.com/jobs/4680072.html
华院数据技术（上海）有限公司,5-10年,硕士,资深爬虫开发工程师,"定期体检,弹性工作,五险一金,发展空间大",20k-40k,"企业服务,数据服务",500-2000人,"['带薪年假', '绩效奖金', '定期体检', '通讯津贴']","['移动端', 'HTML']",静安区,"['移动端', 'HTML']",https://www.lagou.com/jobs/3472995.html
上海即果信息技术有限公司,1-3年,本科,爬虫工程师,"产品有潜力,技术团队优,出国TB,健身房",15k-25k,移动互联网,50-150人,"['带薪年假', '扁平管理', '国外旅游', '氛围活泼']","['游戏', '应收应付']",杨浦区,['应收应付'],https://www.lagou.com/jobs/2460534.html
西安星垂智能科技有限公司,5-10年,本科,Data/Crawler 数据工程师（爬虫方向）,"国际化团队, 高层写字楼, 完善的福利",40k-60k,"移动互联网,人工智能",15-50人,"['带薪年假', '弹性工作', '健身房福利', '扁平管理']","['MySQL', 'Redis', 'MongoDB', 'Oracle']",浦东新区,"['MySQL', 'Redis', 'MongoDB', 'Oracle']",https://www.lagou.com/jobs/5406297.html
上海盈讯科技股份有限公司,1-3年,本科,爬虫工程师,"绩效奖金,晋升通道,培训机会,领导授权",10k-20k,金融,150-500人,"['五险一金', '绩效奖金', '岗位晋升', '管理规范']",['Python'],杨浦区,['Python'],https://www.lagou.com/jobs/5212489.html
上海泛微网络科技股份有限公司,3-5年,本科,爬虫工程师,"免费三餐,周末双休,绩效奖金,员工旅游",15k-25k,"移动互联网,企业服务",2000人以上,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']","['Java', 'Python', '爬虫架构']",闵行区,"['Java', 'Python', '爬虫架构']",https://www.lagou.com/jobs/5016978.html
江苏新南方影视文化有限公司苏州分公司,5-10年,本科,爬虫工程师,新沿技术,25k-40k,移动互联网,150-500人,"['""""']",['Python'],静安区,['Python'],https://www.lagou.com/jobs/5416644.html
上海第一财经数据科技有限公司,1-3年,本科,爬虫工程师,"补充公积金,弹性工作制,补充医疗,年终奖",13k-20k,移动互联网,150-500人,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']","['Hive', '数据仓库', '数据库开发', 'Hadoop']",静安区,"['Hive', '数据仓库', '数据库开发', 'Hadoop']",https://www.lagou.com/jobs/5041853.html
